Amplitude,Capacitance,Dissipation
10.000000E-3,949.000000E-12,551.000000E-6
30.000000E-3,949.000000E-12,551.000000E-6
50.000000E-3,948.000000E-12,552.000000E-6
70.000000E-3,949.000000E-12,550.000000E-6
90.000000E-3,949.000000E-12,550.000000E-6
110.000000E-3,949.000000E-12,549.000000E-6
130.000000E-3,949.000000E-12,550.000000E-6
150.000000E-3,948.000000E-12,550.000000E-6
170.000000E-3,948.000000E-12,551.000000E-6
190.000000E-3,948.000000E-12,551.000000E-6
210.000000E-3,948.000000E-12,552.000000E-6
230.000000E-3,948.000000E-12,552.000000E-6
250.000000E-3,948.000000E-12,553.000000E-6
270.000000E-3,947.000000E-12,553.000000E-6
290.000000E-3,947.000000E-12,553.000000E-6
310.000000E-3,947.000000E-12,553.000000E-6
330.000000E-3,946.800000E-12,554.000000E-6
350.000000E-3,946.400000E-12,556.000000E-6
370.000000E-3,946.400000E-12,555.000000E-6
390.000000E-3,946.300000E-12,556.000000E-6
